gauge_id;gauge;leitercharackter_huek250;hohlraumart_huek250;durchlässigkeit_huek250;dominating_soil_type_bk500;gesteinsart_huek250;soil_texture_boart_1000;land_use_corine;bodenausgangsgesteine_bag5000;bodengrosslandschaft_bgl5000;area_m2_watershed;nFK_1m_FKD10dm_1000;grundwasserneubildung_gwn_1000;sickerwasserrate_mean_swr_1000;greundigkeit_physgru_1000;slope_mean_dem_40;height_mean_dem_40;height_min;height_max;elongation_ratio;height_difference;et_mean;dis_mean;prec_mean;runoff_ratio
23950104;Bensheim;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Magmatit;Sandlehme (sl);Grassland;Saure Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;26856005.34;175.0532055;144.9781831;462.3305926;6.922865014;10.76915503;309.3047782;108.0360031;601.164978;0.4070300765795231;493.1289749;655.8391619397147;283.3105909286041;939.1497528683191;0.3016671090668198
25810558;Biedenkopf;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";304328932.0;138.86292969999997;151.6636034;606.0617959;5.955147059;11.24475403;470.2285676;268.6409912;693.7479857999999;0.5914488789953982;425.10699459999995;504.2881439436399;540.8737723487765;1043.684729816559;0.5182348240774223
41850054;Bischhausen;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;150027507.5;158.6815575;124.8816611;415.87479160000004;5.547240412000001;9.241924589;365.113764;195.2910004;737.2680054;0.5751258316168815;541.977005;510.45912182420045;279.3661426198316;789.8252644440323;0.353706262886489
25850257;Bonbaden;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";98413161.08;145.4906106;73.01232496;354.83502269999997;5.7821067820000005;6.847574862999999;310.08233870000004;168.09800719999998;516.9860229;0.5787263472404569;348.8880157;550.2491873422413;198.4731265318337;748.3938665780036;0.26519876150153787
44430055;Braunsen;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Agriculture;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;116897497.8;197.7997344;92.65154952;299.1234102;8.102266124;7.234284757;340.9833203;214.56399539999998;549.9320068;0.628156069272334;335.3680114;543.3496920499911;190.236087573223;733.585779623214;0.259323575861752
25810354;Breidenbach;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Grassland;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";93113358.99;155.99326200000002;142.33555049999998;554.5747204;6.766747377000001;8.486858385;451.7039603999999;310.0910034;609.5209961;0.5767101945767309;299.42999270000007;583.3053700367727;369.0130620030135;1004.5083093313784;0.36735690344725597
24841250;Bruchenbruecken;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Agriculture;Loesse und Loessderivate;BGL der Loesslandschaften des Berglandes (Becken, Talweitungen, Senken, Berglandhaenge und LoesshÃ¼gellaender);513983970.3;273.4792036;77.4688725;237.67452790000002;13.50482482;3.8702692439999997;240.68932519999998;122.17400359999999;573.0900268999999;0.39363787961199337;450.9160232999999;521.3152063879398;158.61021048322317;679.9254168711633;0.23327589548439792
24861054;Buedingen;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Tonschluffe (tu);Wood;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;93689112.67;204.75263619999998;150.3966799;420.1622682;8.560046189;6.2673304110000005;305.12163780000003;131.2220001;606.3909912;0.36495617681443887;475.1689911;545.6524860666552;321.17425630555175;866.8267423722073;0.37051724480327874
42840453;Dalwigksthal;Grundwasser-Geringleiter;Kluft;sehr gering (>1E-9 - 1E-7);Spodic Cambisols;Sediment;Tonschluffe (tu);Grassland;Tongesteine (i.w.S.);BGL mit hohen Anteilen an Quarzit, Grauwacke, Sandsteine und Konglomerat sowie Ton  und Schluffschiefern;228808523.9;136.31311090000003;120.99288349999999;489.2190155;5.439147762;9.37533867;484.99226849999997;306.6570129;796.2020263999999;0.5375067265189911;489.5450134999999;470.0347410558371;435.522676284851;905.557417340688;0.4809442978931496
25840708;Dillenburg 1;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";251080592.1;146.173174;164.8472829;596.4900951000001;5.69997022;8.488668015;438.7541637;232.05200200000002;674.9249877999999;0.7036302169767419;442.8729857999999;520.0768186069062;494.6021732529031;1014.6203384312381;0.48747512199256277
