gauge;gauge_id;durchl‰ssigkeit_huek250;dominating_soil_type_bk500;gesteinsart_huek250;land_use_corine;area_m2_watershed;grundwasserneubildung_gwn_1000;greundigkeit_physgru_1000;slope_mean_dem_40;perimeter;max_flow_len
Gross-Bieberau 2;24761005;gering bis aeuﬂerst gering (<1E-5);Dystric Cambisols ;Magmatit;Wood;35556338.91;134.1003178;8.557803468;8.877438228;1451294839;10659.6875
Guenthers;41450056;maessig bis gering (>1E-6 - 1E-4);Eutric Cambisols / Stagnic Gleysols;Sediment;Grassland;183039745.6;192.5677016;6.148274478;8.12100368;2899767309;28521.02539
Gungelshausen;42881100;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Grassland;113893924.4;122.487298;15.71009674;4.006811037;3348099981;36780.29688
Haiger;25840253;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;63082970.3;154.0801229;4.995505618;9.418367131;1955640514;14899.68457
Hainmuehle;25822808;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Grassland;916625680.9;120.0241218;12.29109456;4.810363078;8795492648;63173.73828
Hanau;24784259;mittel bis maessig (>1E-5 - 1E-3);Dystric Cambisols;Magmatit;Grassland;927760580.9;153.6674509;10.74643336;6.240524954;8993625293;77836.99219
Harreshausen;24762653;gering bis aeuﬂerst gering (<1E-5);Dystric Cambisols ;Magmatit;Agriculture;464816802.7;139.3128751;13.01672833;4.85554938;6221236656;55653.15625
Hebel;42883558;maessig bis gering (>1E-6 - 1E-4);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Sediment;Agriculture;218413824.8;114.6279704;13.05829523;5.73419153;3241287674;34628.29688
Heimboldshausen;41510205;gering (>1E-7 - 1E-5);Spodic Cambisol ;Sediment;Wood;2793572842;123.1949598;6.584365024;8.377583903;15336387128;143176.0313
Helmarshausen;44950055;maessig bis gering (>1E-6 - 1E-4);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Sediment;Agriculture;1757395999;106.5957536;10.53360003;5.988134425;10630505543;114308.5625
Helsa;42960105;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Wood;53946669.49;174.5791151;5.12767475;6.444463578;1852127900;13529.98047
Herbornseelbach;25841507;sehr gering (>1E-9 - 1E-7);Spodic Cambisols;Sediment;Wood;134545186.3;95.53409756;6.846987315;7.83639947;3813932039;23194.85938
Hermannspiegel;42670557;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Grassland;421960498.4;109.4330524;8.613761468;5.765218415;5180407586;56806.93359
Hettenhausen;42110304;maessig bis gering (>1E-6 - 1E-4);Eutric Cambisols / Stagnic Gleysols;Sediment;Grassland;54682716.16;212.451112;5.910326087;9.924622588;1875271088;16241.9375
Hofgeismar;44840308;maessig (>1E-5 - 1E-4);Dystric Cambisols;Sediment;Wood;49215850.52;142.0852437;8.062942008;3.936318697;1331263155;15925.26367
Hoheneiche;41860900;stark variabel;Dystric Cambisols;Sediment;Grassland;224478203.2;107.4049074;7.659597523;8.383041921;3647666487;21298.29297
Huemme;44850108;gering bis aeuﬂerst gering (<1E-5);Eutric Cambisols / Stagnic Gleysols ;Sediment;Agriculture;187691725;103.2484729;11.71453287;3.623522742;2625717382;30719.15234
Ilbenstadt;24850058;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Agriculture;1073589952;92.74450218;14.20226008;4.003328862;8046993129;70286.77344
Jossa-neu;24480695;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Wood;146814783.2;180.8141143;5.09591268;8.362359394;2916946859;33004.83984
Kaemmerzell;42350057;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Grassland;562041980.8;156.8604833;6.600991824;6.382658618;6368825932;45416.1875
Kassel;24783358;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Grassland;79800397.81;172.2754707;8.444158076;10.57861597;1869000212;16734.9707
Kerzell;42250256;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Grassland;190004668.3;161.6828782;6.444528875;5.196892638;3061505254;25188.48242
Kirchheim;42560300;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Wood;72111641.01;95.6674245;5.464074803;8.013969299;1877099858;16839.58008
Kransberg;24840950;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;85469446.01;72.3468097;7.806632214;5.488093445;2293003480;14810.46387
Lollar;25831605;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Wood;128922646.8;111.8720309;15.30194986;4.13930135;3401987660;31207.19336
Lorsch;23942300;gering bis aeuﬂerst gering (<1E-5);Dystric Cambisols ;Magmatit;Agriculture;398508525.9;156.1433693;11.81763872;7.363267866;5845690648;47054.35938
Luetterz;42360550;mittel bis maessig (>1E-5 - 1E-3);Dystric Cambisols;Magmatit;Grassland;181803646.7;159.2762028;7.966378293;5.146404096;3270194333;35918.02344
Marborn;24781159;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Grassland;20069567.86;158.4788074;11.06690141;4.935989104;1314186141;13604.78027
Marburg;25830056;mittel bis maessig (>1E-5 - 1E-3);Spodic Cambisols;Magmatit;Grassland;1667126250;120.8935801;9.995359779;6.70032915;14082648870;79422.13281
